Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776555085,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776555086,100,,Aggregated,0.000000,0.000000,22,22,22,23,47,99,340,340,340,340,340,89,1,22,33.36201421340131,21.211082999798236,341.6333980003401,62.29213483146067
1776555087,200,,Aggregated,0.000000,0.000000,22,22,22,22,23,51,110,340,1100,1100,1100,223,123,22,36.557889910281496,20.364112000606838,1085.2976449987182,48.99551569506726
1776555088,300,,Aggregated,7.000000,1.000000,22,22,22,22,23,53,78,340,1100,1100,1100,358,258,22,32.06348331561417,20.364112000606838,1085.2976449987182,44.849162011173185
1776555089,400,,Aggregated,51.000000,1.000000,22,22,22,23,24,52,74,110,1100,1100,1100,485,385,22,30.160146622667114,20.364112000606838,1085.2976449987182,43.05567010309279
1776555090,500,,Aggregated,78.333333,45.000000,22,22,23,23,25,53,71,99,1100,1100,1100,612,512,22,29.11868372220376,20.364112000606838,1085.2976449987182,42.00653594771242
1776555091,600,,Aggregated,93.000000,68.000000,22,22,23,23,25,54,1100,5100,5100,5100,5100,946,846,22,118.77093132664338,20.269829001335893,5102.141560000746,40.59196617336152
1776555092,700,,Aggregated,100.200000,80.200000,22,23,23,23,27,65,290,5100,6100,6100,6100,1295,1195,22,103.80037956293573,20.269829001335893,6113.544943000306,39.893436293436295
1776555093,800,,Aggregated,105.500000,88.833333,22,23,23,23,27,63,99,5100,6100,6100,6100,1674,1574,22,85.93272192593618,20.190773000649642,6113.544943000306,39.4647550776583
1776555094,900,,Aggregated,140.428571,126.142857,22,23,23,23,26,59,82,1100,5100,6100,6100,2043,1943,22,74.84779620852666,20.190773000649642,6113.544943000306,39.20019579050416
1776555095,1000,,Aggregated,167.250000,154.750000,22,23,23,23,26,62,92,290,5100,6100,6100,2393,2293,22,68.01869407355322,20.190773000649642,6113.544943000306,39.02465524446302
1776555096,1100,,Aggregated,189.888889,178.777778,23,24,49,57,70,260,10000,10000,10000,10000,10000,3159,3059,23,392.888994025326,20.190773000649642,10421.955394000179,38.75213675213675
1776555097,1200,,Aggregated,205.600000,195.600000,23,60,72,80,120,320,10000,10000,11000,11000,11000,3885,3785,23,429.3773367634556,20.190773000649642,11006.837488999736,38.611583011583015
1776555098,1300,,Aggregated,242.700000,233.300000,46,78,100,120,230,370,10000,10000,12000,12000,12000,4634,4534,46,446.3109230069119,20.190773000649642,11998.640582000007,38.51273198100993
1776555099,1400,,Aggregated,307.800000,307.800000,67,110,130,140,230,400,10000,11000,12000,13000,13000,5490,5390,67,448.6252702602935,20.190773000649642,12786.403390999112,38.4327868852459
1776555100,1500,,Aggregated,368.200000,368.200000,81,130,150,160,260,410,10000,11000,13000,15000,15000,6246,6146,81,454.6618341814032,20.190773000649642,15096.23646199907,38.374319564521294
1776555102,1600,,Aggregated,501.300000,501.300000,100,150,170,190,300,460,10000,11000,14000,16000,16000,6967,6867,100,473.48076837693014,20.190773000649642,15786.02994800167,38.335582029567966
1776555103,1700,,Aggregated,561.300000,561.300000,120,170,190,210,300,470,10000,12000,15000,16000,16000,7844,7744,120,479.63856151403286,20.190773000649642,16377.637797000716,38.298062213156555
1776555104,1800,,Aggregated,598.200000,598.200000,140,180,210,230,330,480,10000,12000,16000,16000,16000,8577,8477,140,481.24573333975377,20.190773000649642,16377.637797000716,38.272589483502394
1776555105,1900,,Aggregated,644.100000,644.100000,150,200,220,240,370,500,10000,12000,17000,17000,17000,9333,9233,150,493.27910883189674,20.190773000649642,17178.170929999396,38.2505089467481
1776555106,2000,,Aggregated,679.900000,679.900000,160,210,240,270,390,510,10000,12000,17000,20000,20000,10150,10050,160,498.12698368404614,20.190773000649642,20229.76674200072,38.222857142857144
1776555107,2100,,Aggregated,715.400000,715.400000,180,220,250,280,390,520,10000,12000,18000,20000,20000,11038,10938,180,506.51897616126075,20.190773000649642,20229.76674200072,38.20492842906324
1776555108,2200,,Aggregated,748.400000,748.400000,190,230,270,310,420,550,10000,12000,19000,20000,20000,11772,11672,190,516.5449264549776,20.190773000649642,20229.76674200072,38.192150866462796
1776555109,2300,,Aggregated,757.700000,757.700000,200,240,290,320,440,560,10000,12000,19000,20000,20000,12475,12375,200,521.5734861900597,20.190773000649642,20386.579296999116,38.18132264529058
1776555110,2400,,Aggregated,758.800000,758.800000,200,260,310,340,460,600,10000,13000,21000,22000,22000,13256,13156,200,540.8813006962868,20.190773000649642,21574.336891999337,38.170639710319854
1776555111,2500,,Aggregated,751.400000,751.400000,210,280,320,350,470,610,10000,13000,22000,23000,23000,14159,14059,210,554.7025716704554,20.190773000649642,22616.145068999685,38.15438943428208
1776555112,2600,,Aggregated,751.000000,751.000000,220,290,330,370,490,620,10000,13000,22000,24000,24000,14851,14751,220,566.1235209387883,20.190773000649642,23551.516474999517,38.147195475052186
1776555113,2700,,Aggregated,737.500000,737.500000,230,300,340,380,510,660,10000,13000,23000,25000,25000,15613,15513,230,571.6300547618603,20.190773000649642,24671.730661000765,38.14001152885416
1776555114,2800,,Aggregated,745.700000,745.700000,240,310,360,400,540,690,9900,13000,23000,26000,26000,16277,16177,240,576.0164484173331,20.190773000649642,25786.056035,38.13429993241998
1776555115,2900,,Aggregated,734.500000,734.500000,250,320,370,410,560,710,9600,13000,23000,26000,26000,17138,17038,250,574.6999509271747,20.190773000649642,26268.22329300012,38.12755280662854
1776555116,3000,,Aggregated,736.600000,736.600000,260,330,390,430,600,730,9600,13000,25000,28000,28000,17825,17725,260,592.1716558926759,20.190773000649642,27984.8074190013,38.11837307152875
